nazwa,komenda
sq102_loose_papers,additem('sq102_loose_papers')
sq104_notes,additem('sq104_notes')
sq106_manuscript,additem('sq106_manuscript')
sq201_ship_manifesto,additem('sq201_ship_manifesto')
sq202_book_1,additem('sq202_book_1')
sq202_book_2,additem('sq202_book_2')
sq205_brewing_instructions,additem('sq205_brewing_instructions')
sq205_brewmasters_log,additem('sq205_brewmasters_log')
sq208_letter,additem('sq208_letter')
sq208_otkell_journal,additem('sq208_otkell_journal')
sq208_ashes,additem('sq208_ashes')
sq210_gog_book,additem('sq210_gog_book')
sq210_gog_brain,additem('sq210_gog_brain')
sq210_blank_brain,additem('sq210_blank_brain')
sq210_drm_brain,additem('sq210_drm_brain')
sq210_gog_recipe,additem('sq210_gog_recipe')
sq302_philippa_letter,additem('sq302_philippa_letter')
sq311_spy_papers,additem('sq311_spy_papers')
sq309_mage_letter,additem('sq309_mage_letter')
sq310_ledger_book,additem('sq310_ledger_book')
sq313_iorveth_letters,additem('sq313_iorveth_letters')
sq401_orders,additem('sq401_orders')
cg100_barons_notes,additem('cg100_barons_notes')
cg300_roches_list,additem('cg300_roches_list')
mq0003_girls_diary,additem('mq0003_girls_diary')
mq0004_burnt_papers,additem('mq0004_burnt_papers')
mq1001_locker_diary,additem('mq1001_locker_diary')
mq1002_aeramas_journal,additem('mq1002_aeramas_journal')
mq1002_aeramas_journal_2,additem('mq1002_aeramas_journal_2')
mq1015_hang_man_note,additem('mq1015_hang_man_note')
mq1014_old_mine_journal,additem('mq1014_old_mine_journal')
mq1017_nilfgaardian_letter,additem('mq1017_nilfgaardian_letter')
mq1023_fake_papers,additem('mq1023_fake_papers')
mq1036_refugee_letter,additem('mq1036_refugee_letter')
mq1033_fight_diary,additem('mq1033_fight_diary')
mq1053_letter_to_emhyr,additem('mq1053_letter_to_emhyr')
mq1053_martins_notes,additem('mq1053_martins_notes')
mq1055_letters,additem('mq1055_letters')
mq2001_journal_1a,additem('mq2001_journal_1a')
mq2001_journal_1b,additem('mq2001_journal_1b')
mq2001_journal_1c,additem('mq2001_journal_1c')
mq2001_journal_2a,additem('mq2001_journal_2a')
mq2001_journal_2b,additem('mq2001_journal_2b')
mq2003_bandit_journal,additem('mq2003_bandit_journal')
mq2006_map_1,additem('mq2006_map_1')
mq2006_map_2,additem('mq2006_map_2')
mq2008_journal,additem('mq2008_journal')
mq2010_lumbermill_journal_1,additem('mq2010_lumbermill_journal_1')
mq2010_lumbermill_journal_2,additem('mq2010_lumbermill_journal_2')
mq2010_lumbermill_journal_3,additem('mq2010_lumbermill_journal_3')
mq2012_letter,additem('mq2012_letter')
mq2015_kurisus_note,additem('mq2015_kurisus_note')
mq2033_captain_note,additem('mq2033_captain_note')
mq2033_captain_journal,additem('mq2033_captain_journal')
mq2037_dimun_directions,additem('mq2037_dimun_directions')
mq2039_Honeycomb,additem('mq2039_Honeycomb')
mq2048_guide_notes,additem('mq2048_guide_notes')
mq2048_waxed_letters,additem('mq2048_waxed_letters')
mq2049_book_1,additem('mq2049_book_1')
mq2049_book_2,additem('mq2049_book_2')
mq2049_book_3,additem('mq2049_book_3')
mq2049_book_4,additem('mq2049_book_4')
mq2049_book_5,additem('mq2049_book_5')
mq3002_hidden_messages_note_01,additem('mq3002_hidden_messages_note_01')
mq3002_hidden_messages_note_02,additem('mq3002_hidden_messages_note_02')
mq3002_hidden_messages_note_03,additem('mq3002_hidden_messages_note_03')
mq3017_reds_diary,additem('mq3017_reds_diary')
mq3026_varese_invitation,additem('mq3026_varese_invitation')
mq3026_horse_racing_leaflet,additem('mq3026_horse_racing_leaflet')
mq3027_my_manifest,additem('mq3027_my_manifest')
mq3027_fluff_book_1,additem('mq3027_fluff_book_1')
mq3027_fluff_book_2,additem('mq3027_fluff_book_2')
mq3027_fluff_book_3,additem('mq3027_fluff_book_3')
mq3027_fluff_book_4,additem('mq3027_fluff_book_4')
mq3027_letter,additem('mq3027_letter')
mq3030_trader_documents,additem('mq3030_trader_documents')
mq3035_talar_notes,additem('mq3035_talar_notes')
mq4003_letter,additem('mq4003_letter')
mq4005_note_1,additem('mq4005_note_1')
mq4006_book,additem('mq4006_book')
mh103_girls_journal,additem('mh103_girls_journal')
mh207_lighthouse_keeper_letter,additem('mh207_lighthouse_keeper_letter')
mh305_doppler_letter,additem('mh305_doppler_letter')
lw_temerian_soldiers_journal,additem('lw_temerian_soldiers_journal')
lw_sb13_note,additem('lw_sb13_note')
FeromoneBomb,additem('FeromoneBomb')
sq402_vitriol,additem('sq402_vitriol')
sq402_rebis,additem('sq402_rebis')
sq402_hydragenum,additem('sq402_hydragenum')
sq402_aether,additem('sq402_aether')
sq402_quebrith,additem('sq402_quebrith')
th1001_journal_viper_part1,additem('th1001_journal_viper_part1')
th1009_journal_wolf_part1,additem('th1009_journal_wolf_part1')
th1009_journal_wolf_part2,additem('th1009_journal_wolf_part2')
th003_journal_wolf_part3,additem('th003_journal_wolf_part3')
th004_map_wolf_jacket_upgrade1,additem('th004_map_wolf_jacket_upgrade1')
th005_map_wolf_jacket_upgrade2,additem('th005_map_wolf_jacket_upgrade2')
th006_map_wolf_jacket_upgrade3,additem('th006_map_wolf_jacket_upgrade3')
th007_map_wolf_gloves_upgrade1,additem('th007_map_wolf_gloves_upgrade1')
th008_map_wolf_pants_upgrade1,additem('th008_map_wolf_pants_upgrade1')
th009_map_wolf_boots_upgrade1,additem('th009_map_wolf_boots_upgrade1')
th010_map_wolf_silver_sword_upgrade1,additem('th010_map_wolf_silver_sword_upgrade1')
th011_map_wolf_silver_sword_upgrade2,additem('th011_map_wolf_silver_sword_upgrade2')
th012_map_wolf_silver_sword_upgrade3,additem('th012_map_wolf_silver_sword_upgrade3')
th013_map_wolf_steel_sword_upgrade1,additem('th013_map_wolf_steel_sword_upgrade1')
th1003_journal_cat_lady,additem('th1003_journal_cat_lady')
th1003_journal_lynx_part1,additem('th1003_journal_lynx_part1')
th1003_journal_lynx_part2,additem('th1003_journal_lynx_part2')
th1003_journal_lynx_part4,additem('th1003_journal_lynx_part4')
th1003_journal_lynx_part5,additem('th1003_journal_lynx_part5')
th1003_journal_lynx_part6,additem('th1003_journal_lynx_part6')
th1005_journal_gryphon_part1,additem('th1005_journal_gryphon_part1')
th1005_journal_gryphon_part2,additem('th1005_journal_gryphon_part2')
th1005_journal_gryphon_part3,additem('th1005_journal_gryphon_part3')
th1005_journal_gryphon_part4,additem('th1005_journal_gryphon_part4')
th1005_journal_gryphon_part5,additem('th1005_journal_gryphon_part5')
th1007_journal_bear_part1,additem('th1007_journal_bear_part1')
th1007_journal_bear_part2,additem('th1007_journal_bear_part2')
th1007_journal_bear_part3,additem('th1007_journal_bear_part3')
th1007_journal_bear_part4,additem('th1007_journal_bear_part4')
th1007_journal_bear_part5,additem('th1007_journal_bear_part5')
th1007_journal_bear_part6,additem('th1007_journal_bear_part6')
Geralt mask 01,additem('Geralt mask 01')
Geralt mask 02,additem('Geralt mask 02')
Geralt mask 03,additem('Geralt mask 03')
Triss mask,additem('Triss mask')
Geralt robbery mask,additem('Geralt robbery mask')
Triss Earring,additem('Triss Earring')
mq1013_Pretender pendant,additem('mq1013_Pretender pendant')
Dijkstra mask,additem('Dijkstra mask')
Voorhis mask,additem('Voorhis mask')
Ingrid mask,additem('Ingrid mask')
Luiza mask,additem('Luiza mask')
Witch Hunter mask,additem('Witch Hunter mask')
Albert mask,additem('Albert mask')
False Albert mask 02,additem('False Albert mask 02')
Guest mask man 01,additem('Guest mask man 01')
Guest mask man 02,additem('Guest mask man 02')
Guest mask man 03,additem('Guest mask man 03')
Guest mask man 04,additem('Guest mask man 04')
Guest mask man 05,additem('Guest mask man 05')
Guest mask man 07,additem('Guest mask man 07')
Guest mask man 08,additem('Guest mask man 08')
Guest mask man 09,additem('Guest mask man 09')
Guest mask man 11,additem('Guest mask man 11')
Guest mask man 12,additem('Guest mask man 12')
Guest mask man 13,additem('Guest mask man 13')
Guest mask woman 01,additem('Guest mask woman 01')
Guest mask woman 02,additem('Guest mask woman 02')
Guest mask woman 03,additem('Guest mask woman 03')
Guest mask woman 04,additem('Guest mask woman 04')
Guest mask woman 05,additem('Guest mask woman 05')
Guest mask woman 06,additem('Guest mask woman 06')
Guest mask woman 07,additem('Guest mask woman 07')
Guest mask woman 08,additem('Guest mask woman 08')
Guest mask woman 09,additem('Guest mask woman 09')
Guest mask woman 10,additem('Guest mask woman 10')
Guest mask woman 14,additem('Guest mask woman 14')
Guest mask woman 15,additem('Guest mask woman 15')
Guest mask woman 16,additem('Guest mask woman 16')
Guest mask woman 17,additem('Guest mask woman 17')
Thunderbolt 3,additem('Thunderbolt 3')
Recipe for White Raffards Decoction 2,additem('Recipe for White Raffards Decoction 2')
Recipe for White Raffards Decoction 3,additem('Recipe for White Raffards Decoction 3')
Full Moon 2,additem('Full Moon 2')
Golden Oriole 2,additem('Golden Oriole 2')
Maribor Forest 2,additem('Maribor Forest 2')
Petri Philtre 1,additem('Petri Philtre 1')
Petri Philtre 2,additem('Petri Philtre 2')
Swallow 1,additem('Swallow 1')
White Raffards Decoction 2,additem('White Raffards Decoction 2')
axe_test,additem('axe_test')
mace_test,additem('mace_test')
dwarven_hammer_test,additem('dwarven_hammer_test')
Wolf Gloves 4,additem('Wolf Gloves 4')
Wolf Pants 4,additem('Wolf Pants 4')
Wolf Boots 4,additem('Wolf Boots 4')
DLC1 Temerian Armor,additem('DLC1 Temerian Armor')
DLC1 Temerian Boots,additem('DLC1 Temerian Boots')
DLC1 Temerian Gloves,additem('DLC1 Temerian Gloves')
DLC1 Temerian Pants,additem('DLC1 Temerian Pants')
Short Loose Hairstyle,additem('Short Loose Hairstyle')
Mohawk With Ponytail Hairstyle,additem('Mohawk With Ponytail Hairstyle')
Nilfgaardian Hairstyle,additem('Nilfgaardian Hairstyle')
Red Wolf Armor 2,additem('Red Wolf Armor 2')
Red Wolf Gloves 2,additem('Red Wolf Gloves 2')
Red Wolf Pants 2,additem('Red Wolf Pants 2')
Red Wolf Boots 2,additem('Red Wolf Boots 2')
Dye Solution,additem('Dye Solution')
Recipe Dye Gray,additem('Recipe Dye Gray')
Recipe Dye Brown,additem('Recipe Dye Brown')
Recipe Dye Red,additem('Recipe Dye Red')
Recipe Dye Green,additem('Recipe Dye Green')
Recipe Dye Blue,additem('Recipe Dye Blue')
Recipe Dye Black,additem('Recipe Dye Black')
Recipe Dye White,additem('Recipe Dye White')
Recipe Dye Orange,additem('Recipe Dye Orange')
Recipe Dye Pink,additem('Recipe Dye Pink')
Recipe Dye Yellow,additem('Recipe Dye Yellow')
Recipe Dye Purple,additem('Recipe Dye Purple')
Abarad,additem('Abarad')
Caroline,additem('Caroline')
Gynvaelaedd,additem('Gynvaelaedd')
Gynvael,additem('Gynvael')
Tlareg,additem('Tlareg')
Breathofthenorth,additem('Breathofthenorth')
Torzirael,additem('Torzirael')
Zireael Sword,additem('Zireael Sword')
Ofir Sabre 1,additem('Ofir Sabre 1')
Horse Saddle 6,additem('Horse Saddle 6')
Ofir Horse Bag,additem('Ofir Horse Bag')
Ofir Horse Blinders,additem('Ofir Horse Blinders')
Soltis Vodka,additem('Soltis Vodka')
Cornucopia,additem('Cornucopia')
Burning Rose Sword,additem('Burning Rose Sword')
Geralt Kontusz,additem('Geralt Kontusz')
Geralt Kontusz Boots,additem('Geralt Kontusz Boots')
Guard Lvl1 Armor 1,additem('Guard Lvl1 Armor 1')
Guard Lvl1 Boots 1,additem('Guard Lvl1 Boots 1')
Guard Lvl1 Gloves 1,additem('Guard Lvl1 Gloves 1')
Guard Lvl1 Pants 1,additem('Guard Lvl1 Pants 1')
Guard Lvl1 Armor 2,additem('Guard Lvl1 Armor 2')
Guard Lvl1 Boots 2,additem('Guard Lvl1 Boots 2')
Guard Lvl1 Gloves 2,additem('Guard Lvl1 Gloves 2')
Guard Lvl1 Pants 2,additem('Guard Lvl1 Pants 2')
Guard Lvl1 A Armor 1,additem('Guard Lvl1 A Armor 1')
Guard Lvl1 A Boots 1,additem('Guard Lvl1 A Boots 1')
Guard Lvl1 A Gloves 1,additem('Guard Lvl1 A Gloves 1')
Guard Lvl1 A Pants 1,additem('Guard Lvl1 A Pants 1')
Guard Lvl1 A Armor 2,additem('Guard Lvl1 A Armor 2')
Guard Lvl1 A Boots 2,additem('Guard Lvl1 A Boots 2')
Guard Lvl2 Armor 1,additem('Guard Lvl2 Armor 1')
Guard Lvl2 Boots 1,additem('Guard Lvl2 Boots 1')
Guard Lvl2 Gloves 1,additem('Guard Lvl2 Gloves 1')
Guard Lvl2 Pants 1,additem('Guard Lvl2 Pants 1')
Guard Lvl2 Armor 2,additem('Guard Lvl2 Armor 2')
Guard Lvl2 Boots 2,additem('Guard Lvl2 Boots 2')
Guard Lvl2 Gloves 2,additem('Guard Lvl2 Gloves 2')
Guard Lvl2 Pants 2,additem('Guard Lvl2 Pants 2')
Guard Lvl2 A Armor 1,additem('Guard Lvl2 A Armor 1')
Guard Lvl2 A Armor 2,additem('Guard Lvl2 A Armor 2')
Guard Lvl2 A Boots 2,additem('Guard Lvl2 A Boots 2')
Guard Lvl2 A Gloves 2,additem('Guard Lvl2 A Gloves 2')
Guard Lvl2 A Pants 2,additem('Guard Lvl2 A Pants 2')
Knight Geralt Armor 1,additem('Knight Geralt Armor 1')
Knight Geralt Boots 1,additem('Knight Geralt Boots 1')
Knight Geralt Gloves 1,additem('Knight Geralt Gloves 1')
Knight Geralt Pants 1,additem('Knight Geralt Pants 1')
Knight Geralt Armor 2,additem('Knight Geralt Armor 2')
Knight Geralt Boots 2,additem('Knight Geralt Boots 2')
Knight Geralt Gloves 2,additem('Knight Geralt Gloves 2')
Knight Geralt Pants 2,additem('Knight Geralt Pants 2')
Knight Geralt A Armor 1,additem('Knight Geralt A Armor 1')
Knight Geralt A Boots 1,additem('Knight Geralt A Boots 1')
Knight Geralt A Gloves 1,additem('Knight Geralt A Gloves 1')
Knight Geralt A Pants 1,additem('Knight Geralt A Pants 1')
Knight Geralt A Armor 2,additem('Knight Geralt A Armor 2')
Knight Geralt A Boots 2,additem('Knight Geralt A Boots 2')
Knight Geralt A Gloves 2,additem('Knight Geralt A Gloves 2')
Knight Geralt A Pants 2,additem('Knight Geralt A Pants 2')
Toussaint Armor 2,additem('Toussaint Armor 2')
Toussaint Boots 2,additem('Toussaint Boots 2')
Toussaint Gloves 2,additem('Toussaint Gloves 2')
Toussaint Pants 2,additem('Toussaint Pants 2')
Toussaint Armor 3,additem('Toussaint Armor 3')
Toussaint Boots 3,additem('Toussaint Boots 3')
Toussaint Gloves 3,additem('Toussaint Gloves 3')
Toussaint Pants 3,additem('Toussaint Pants 3')
sq701_geralt_armor,additem('sq701_geralt_armor')
sq701_ravix_armor,additem('sq701_ravix_armor')
q705_mandragora_gloves,additem('q705_mandragora_gloves')
Toussaint saddle,additem('Toussaint saddle')
Toussaint saddle 2,additem('Toussaint saddle 2')
Toussaint saddle 3,additem('Toussaint saddle 3')
Toussaint saddle 4,additem('Toussaint saddle 4')
Toussaint saddle 5,additem('Toussaint saddle 5')
Toussaint saddle 6,additem('Toussaint saddle 6')
Tourney Geralt Saddle,additem('Tourney Geralt Saddle')
Tourney Ravix Saddle,additem('Tourney Ravix Saddle')
Toussaint horsebag,additem('Toussaint horsebag')
Toussaint horse blinders,additem('Toussaint horse blinders')
Toussaint horse blinders 2,additem('Toussaint horse blinders 2')
Toussaint horse blinders 3,additem('Toussaint horse blinders 3')
Toussaint horse blinders 4,additem('Toussaint horse blinders 4')
Toussaint horse blinders 5,additem('Toussaint horse blinders 5')
Toussaint horse blinders 6,additem('Toussaint horse blinders 6')
q701_cyclops_trophy,additem('q701_cyclops_trophy')
q704_garkain_trophy,additem('q704_garkain_trophy')
mq7002_spriggan_trophy,additem('mq7002_spriggan_trophy')
mq7009_griffin_trophy,additem('mq7009_griffin_trophy')
mq7017_zmora_trophy,additem('mq7017_zmora_trophy')
mq7010_dracolizard_trophy,additem('mq7010_dracolizard_trophy')
mq7018_basilisk_trophy,additem('mq7018_basilisk_trophy')
mh701_sharley_matriarch_trophy,additem('mh701_sharley_matriarch_trophy')
Lynx School steel sword Upgrade schematic 4,additem('Lynx School steel sword Upgrade schematic 4')
Lynx School silver sword Upgrade schematic 4,additem('Lynx School silver sword Upgrade schematic 4')
Witcher Lynx Jacket Upgrade schematic 4,additem('Witcher Lynx Jacket Upgrade schematic 4')
Witcher Lynx Gloves Upgrade schematic 5,additem('Witcher Lynx Gloves Upgrade schematic 5')
Witcher Lynx Boots Upgrade schematic 5,additem('Witcher Lynx Boots Upgrade schematic 5')
Witcher Lynx Pants Upgrade schematic 5,additem('Witcher Lynx Pants Upgrade schematic 5')
Gryphon School steel sword Upgrade schematic,additem('Gryphon School steel sword Upgrade schematic')
Gryphon School silver sword Upgrade schematic,additem('Gryphon School silver sword Upgrade schematic')
Witcher Gryphon Jacket Upgrade schematic 4,additem('Witcher Gryphon Jacket Upgrade schematic 4')
Witcher Gryphon Gloves Upgrade schematic 5,additem('Witcher Gryphon Gloves Upgrade schematic 5')
Witcher Gryphon Boots Upgrade schematic 5,additem('Witcher Gryphon Boots Upgrade schematic 5')
Witcher Gryphon Pants Upgrade schematic 5,additem('Witcher Gryphon Pants Upgrade schematic 5')
Bear School steel sword Upgrade schematic 4,additem('Bear School steel sword Upgrade schematic 4')
Bear School silver sword Upgrade schematic 4,additem('Bear School silver sword Upgrade schematic 4')
Witcher Bear Jacket Upgrade schematic 4,additem('Witcher Bear Jacket Upgrade schematic 4')
Witcher Bear Gloves Upgrade schematic 5,additem('Witcher Bear Gloves Upgrade schematic 5')
Witcher Bear Boots Upgrade schematic 5,additem('Witcher Bear Boots Upgrade schematic 5')
Witcher Bear Pants Upgrade schematic 5,additem('Witcher Bear Pants Upgrade schematic 5')
Wolf School steel sword Upgrade schematic 4,additem('Wolf School steel sword Upgrade schematic 4')
Wolf School silver sword Upgrade schematic 4,additem('Wolf School silver sword Upgrade schematic 4')
Witcher Wolf Jacket Upgrade schematic 4,additem('Witcher Wolf Jacket Upgrade schematic 4')
